text	label
We've had this subscription for years, it's just easier to keep it even though we don't use it much.	sunk_cost
The project's failure was a result of poor planning, I mean, it's not like we didn't see this coming.	hindsight
It seems obvious now that the merger was a bad idea, but at the time, I think we all had high hopes for it.	hindsight
My predictions are always accurate, I have a great track record	overconfidence
I've got a gut feeling about this and it's never wrong	overconfidence
I think we should gather more information before making a decision.	no_bias
The data is obvious: our company's approach is the most effective in the industry.	confirmation_bias
In retrospect, it's clear the warning signs were there, but I didn't think much of them at the time.	hindsight
The article presented a balanced view of the controversial issue, discussing both sides of the debate.	no_bias
I've heard mixed reviews, but the sheer number of positive ratings makes me think this product is worth trying	bandwagon
I've read a few articles about the benefits of meditation, so it must be the solution to all mental health problems.	overgeneralization
He's only volunteering to impress people, what a selfish guy.	fundamental_attribution
I'm not going to quit my job just because it's not fulfilling, I've worked too hard to get where I am	sunk_cost
Some individuals are naturally more competitive, and that's why he's so cutthroat in business.	fundamental_attribution
The writing was on the wall, we should have acted sooner	hindsight
Every time there's a natural disaster, I think about how we should have a disaster preparedness plan, not just for earthquakes, but for everything.	availability
I'm buying the new iPhone because everyone else has one.	bandwagon
I can see now that the signs were all there, we just misinterpreted them	hindsight
Since I didn't enjoy the first book in a series, the rest of the books are probably not worth reading.	overgeneralization
I'm only interested in information that can help me improve our current strategy, not replace it.	confirmation_bias
Given the obvious success of socialist economies in Scandinavia, it's clear that capitalism is inferior.	confirmation_bias
The user manual provides detailed instructions for troubleshooting common issues.	no_bias
I've been reading so much about identity theft lately, it's definitely on the rise and we should all be worried	availability
The professor encouraged the students to ask questions and explore different ideas	no_bias
No_bias: While it's true that some people have been injured by defective products, the overall quality of manufacturing has improved significantly in recent years.	availability
I've been thinking about trying a vegan diet, since so many people I know are doing it	bandwagon
No_bias: The fact that I know several people who have been affected by a particular disease doesn't necessarily mean that it's more common or more deadly than other diseases.	availability
No one I know has had a bad experience with that company, so I feel safe using them	bandwagon
I don't care what the data says, I know in my heart that my approach is the best way.	confirmation_bias
The employee was fired because he was underperforming, not because the company was downsizing.	fundamental_attribution
I'm considering buying a smartwatch because they seem really popular	bandwagon
It's not arrogance, it's confidence – I know what I'm talking about	overconfidence
She's been gossiping again, that's just her nature.	fundamental_attribution
I've noticed a lot of people around me getting sick lately, so I'm starting to think this flu season is going to be the worst one yet.	availability
The economy is complex, but in hindsight, the recession was somewhat foreseeable.	hindsight
We should just go with my plan, it's the best one	overconfidence
The writing was on the wall, I just didn't act on it sooner	hindsight
Honestly, I'm not surprised the new policy failed, it was a flawed idea from the start	hindsight
I went to one concert and the opening act was bad, so I don't think I'll ever go to another concert again.	overgeneralization
I'm not giving up on this business, I've put my heart and soul into it for years.	sunk_cost
I'm not interested in hearing opposing views, they're just going to be misleading.	confirmation_bias
The employees are dissatisfied because the company culture is inherently toxic, not because of external factors like low wages.	fundamental_attribution
I'm not saying I'm psychic or anything, but I did have a feeling that something was off about the deal	hindsight
All the kids in school are playing soccer, so my child should play too.	bandwagon
I had a bad experience with a certain brand of car, so I'm convinced they're all lemons.	overgeneralization
After reviewing the data, it seems that the results are inconclusive and more research is needed.	no_bias
I had a feeling that restaurant wouldn't last, the location was all wrong	hindsight
There's no way I'm wrong about this, it's basic logic	overconfidence
I've been seeing so many ads for identity theft protection lately, it must be a huge problem.	availability
My friend just got into a car accident, so now I'm extra cautious every time I drive, thinking it could happen to me at any moment.	availability
I took oneonline course and it was really boring, so online learning is not effective.	overgeneralization
It's essential to evaluate all available data before making a decision.	no_bias
Everyone at the office is talking about the latest Marvel movie, so I guess I'll watch it.	bandwagon
Honestly, I'm not surprised the project failed, it was bound to happen	hindsight
All vegans are weak and lack energy, just look at that one guy I know.	overgeneralization
The teacher asked the students to think critically about the topic	no_bias
The expert's opinion is just one piece of the puzzle; we should also consider the opinions of others in the field.	no_bias
I've made up my mind about this investment, don't confuse me with the facts.	confirmation_bias
I just read about a new study linking certain chemicals to cancer, now I'm terrified of using any household cleaners.	availability
Everyone's talking about the benefits of meditation, so I'll give it a try	bandwagon
It's possible that the issue is more complex than we initially thought, and we should break it down into smaller parts to understand it better.	no_bias
My research has led me to believe that sugar is the primary cause of obesity, and I won't consider any other explanation.	confirmation_bias
I'm just glad I didn't invest more than I did, because it's clear now that it was a losing proposition from the start	hindsight
The reason they're poor is because they're not smart with money; it's that simple.	fundamental_attribution
It seems like the writing was on the wall for that relationship, they were always arguing.	hindsight
We can't abandon the project now, we've invested too much time and resources.	sunk_cost
No one knows this topic better than me, so my opinion is the most valuable	overconfidence
No way, I'm finishing this degree; I've come too far to turn back now.	sunk_cost
I've been noticing a lot of people wearing fitness trackers, so I'm pretty sure they're really effective for losing weight	availability
I don't understand why she can't hold down a job, it's probably because she's so flaky.	fundamental_attribution
The way she talks to her employees is disgraceful; she must be a really cruel person.	fundamental_attribution
The writing was on the wall, I mean, who didn't see the housing market crash coming?	hindsight
We can't sell the house now, we just put in a new kitchen and it would be a waste of money	sunk_cost
My judgment is sound, so you can rely on my assessment	overconfidence
History will prove me right, just you wait and see	overconfidence
My approach may be unorthodox, but it's definitely going to work	overconfidence
She's always so argumentative, I bet she's just one of those people who loves to fight.	fundamental_attribution
I've got all the information I need right here, I don't need to do any further research.	confirmation_bias
Since my colleague got laid off, I'm worried that I could be next, even though the company is doing well.	availability
It seems like everyone is learning a new language, maybe I should too	bandwagon
I know I'm not using my expensive camera as much as I thought, but it was a big purchase, so I'll hold onto it.	sunk_cost
I've been in tough situations before and I always come out on top, so this will be no different	overconfidence
I don't really like the music, but all my friends are going to the concert, so I'll come too	bandwagon
We should consider both the pros and cons before making a decision.	no_bias
In retrospect, it's clear that investing in that company was a bad idea, but I guess we all missed it at the time.	hindsight
I've grown attached to this old car, and all the work I've put into it.	sunk_cost
You can tell a lot about someone's character by how they treat service staff.	fundamental_attribution
It's easy to see now that we made the wrong decision	hindsight
No way, I'm not going to the beach, didn't you hear about the shark attack last week?	availability
If it's not on my favorite blog, it's not worth knowing.	confirmation_bias
I've already made up my mind about the election, don't bother showing me any opposing views.	confirmation_bias
